ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
4580430	Papaya	Papaya						2		7.98	0	7.98	7.98	0	7.98	1
-39108	2 raddish							1		5	0	5	5	0	5	1
-39108	2 watermelon							1		11	0	11	11	0	11	1
-39108	3 x peeled garlic							1		18	0	18	18	0	18	1
-39108	4 bunch radish							1		10	0	10	10	0	10	1
49766771	7.5 KG Potato	7.5 KG Potato						38		171	0	171	171	0	171	1
-39108	apeicots							1		2.5	0	2.5	2.5	0	2.5	1
-39108	aples							2		10	0	10	10	0	10	1
48180213	Apple Cooking	Apples Cooking						96	196.81200kg	653.41584	9.7591	643.65674	643.65674	326.70792	316.95	0.49242
-39108	apples							19		181.17	0.5975	180.5725	180.5725	0	180.57	1
2693455	Apples Braeburn	Apples Braeburn						560	573.62100kg	1715.12679	43.8434	1671.28339	1671.28339	717.02625	954.26	0.57097
2693458	Apples Gala	Apples Gala						284	373.15300kg	1115.72747	12.5507	1103.17677	1103.17677	2238.918	-1135.74	-1.02951
2602093	Apples Golden	Apples Golden						213	270.25300kg	808.05647	9.0008	799.05567	799.05567	448.61998	350.44	0.43856
4577778	Apples Granny	Apples Granny						202	214.07600kg	640.08724	9.8981	630.18914	630.18914	1980.203	-1350.01	-2.14222
4577780	Apples Pink Lady	Apples Pink Lady						342	251.99800kg	1091.15134	4.5773	1086.57404	1086.57404	2015.984	-929.41	-0.85536
4577781	Apples Red Delicious	Apples Red Delicious						135	108.05600kg	323.08744	9.4416	313.64584	313.64584	63.75304	249.89	0.79674
-39108	apricot							4		10	0	10	10	0	10	1
46128454	Apricot Loose	Apricot Loose						93		18.6	0	18.6	18.6	44.64	-26.04	-1.4
-39108	apricots							6		15	0	15	15	0	15	1
-39108	aubergine							3		46.5	0	46.5	46.5	0	46.5	1
4590120	Aubergine	Aubergine						593	474.50200kg	1803.1076	1.1966	1801.911	1801.911	3606.2152	-1804.3	-1.00133
51130708	Aubergine Thin	Aubergine Thin						1		0.5	0	0.5	0.5	0	0.5	1
-39108	avo							2		2	0	2	2	0	2	1
-39108	avocado							4		21.1	0	21.1	21.1	0	21.1	1
2602077	Avocado	Avocado						3038		3310.4	16.5217	3293.8783	3293.8783	2536.73	757.15	0.22987
48291132	Avocado Special Offer	Avocado Special Offer						56		42	0	42	42	0	42	1
48688499	Avocado Special Offer 10 for £1	Avocado Special Offer 10 for £1						2		2	0	2	2	1.2	0.8	0.4
-39108	avocado x 3							1		3.9	0	3.9	3.9	0	3.9	1
-39108	avocados small							1		1	0	1	1	0	1	1
-39108	avos							2		2	0	2	2	0	2	1
-39108	bab cues							1		3	0	3	3	0	3	1
-39108	bab roasters							1		23	0	23	23	0	23	1
-39108	baby cues							1		1	0	1	1	0	1	1
-39108	baby roast							1		11.5	0	11.5	11.5	0	11.5	1
-39108	banana							2		22.85	0	22.85	22.85	0	22.85	1
4577782	Banana	Banana						1622	1522.39400kg	2997.68342	17.815	2979.86842	2979.86842	1765.97704	1213.89	0.40736
52173818	bargain box							25		5	0	5	5	0	5	1
45840215	Bean Sprouts	Bean Sprouts						6		5.34	0	5.34	5.34	3	2.34	0.4382
-39108	beetroot							1		8.5	0	8.5	8.5	0	8.5	1
46621621	Beetroot Loose	Beetroot Loose						193	219.15000kg	433.917	1.6888	432.2282	432.2282	0	432.23	1
48466184	Belgium Strawberry punnet	Belgium Strawberry	8453108234					13		46.8	0	46.8	46.8	23.4	23.4	0.5
-39108	berries							1		3	0	3	3	0	3	1
-39108	berry							1		7	0	7	7	0	7	1
48280193	Blood orange	Blood orange						7		3.85	0	3.85	3.85	0	3.85	1
47891356	Blueberry	Blueberry						229		455.71	7.9686	447.7414	447.7414	0	447.74	1
	box aubergine before pesach							1		15	0	15	15	0	15	1
	box baby pot							2		22.5	0	22.5	22.5	0	22.5	1
	box banana							1		20	0	20	20	0	20	1
-39108	box brae							1		22	0	22	22	0	22	1
-39108	box butternut							1		12	0	12	12	0	12	1
-39108	box cucumber							1		8	0	8	8	0	8	1
-39108	box goldn							1		22	0	22	22	0	22	1
	box lychee							1		10	0	10	10	0	10	1
-39108	box oranges							1		5	0	5	5	0	5	1
-39108	box parsnip							1		8	0	8	8	0	8	1
-39108	box pineapple							1		14	0	14	14	0	14	1
-39108	box sweet potatoes							1		6	0	6	6	0	6	1
-39108	box tomato							1		12	0	12	12	0	12	1
-39108	box tomatoes							1		13	0	13	13	0	13	1
-39108	braeburn							2		27	0	27	27	0	27	1
-39108	bunch raddish							1		10	0	10	10	0	10	1
-39108	butternut							5		54.5	0	54.5	54.5	0	54.5	1
46020023	Butternut Squash	Butternut Squash						344	526.21500kg	1368.159	49.2809	1318.8781	1318.8781	926.1384	392.74	0.29778
52184056	button mushroom tub							13		5.85	0	5.85	5.85	0	5.85	1
-39108	cabbage							8		8.95	0	8.95	8.95	0	8.95	1
4590102	Cabbage Red	Cabbage Red						59	131.18000kg	249.242	9.1883	240.0537	240.0537	111.503	128.55	0.5355
10757457	Cabbage Sweetheart	Cabbage Sweetheart						20		20	0	20	20	24	-4	-0.2
4590101	Cabbage White	Cabbage White						188	424.86200kg	483.9595	12.2435	471.716	471.716	845.47538	-373.76	-0.79234
-39108	carro box							1		11.5	0	11.5	11.5	0	11.5	1
-39108	carros							1		5	0	5	5	0	5	1
-39108	carrot							1		6	0	6	6	0	6	1
47064979	Carrot Bag 1KG	Carrot Bag 1KG						854		1187.06	2.5837	1184.4763	1184.4763	0	1184.48	1
-39108	carrots							3		32.5	0	32.5	32.5	0	32.5	1
4590103	Carrots	Carrots						1771	1950.04100kg	2437.55125	41.1851	2396.36615	2396.36615	7800.164	-5403.8	-2.255
-39108	ccumbers							1		1	0	1	1	0	1	1
4590108	Celeriac	Celeriac						261	274.46800kg	820.65932	11.6161	809.04322	809.04322	21.95744	787.09	0.97286
4590110	Celery	Celery						468		678.76	8.3096	670.4504	670.4504	281.97	388.48	0.57943
-39108	cherries							1		2.6	0	2.6	2.6	0	2.6	1
10054732	Cherries loose	Cherries loose						16	1.33600kg	17.368	0	17.368	17.368	6.68	10.69	0.61543
-39108	cherry							2		3.85	0	3.85	3.85	0	3.85	1
48735462	Cherry vine tomatoes	Cherry vine tomatoes						69	17.55800kg	122.73042	0	122.73042	122.73042	0	122.73	1
9884793	Chicory loose	Chicory loose						26		26	0	26	26	19.5	6.5	0.25
52183545	chinese leaf							1		1	0	1	1	0	1	1
-39108	chinese leaf							1		0.5	0	0.5	0.5	0	0.5	1
7927245	Chinese Leaf	Chinese Leaf	5636633534					30		59.4	0	59.4	59.4	30	29.4	0.49495
51576512	Chow chow	Chow chow						10		5	0	5	5	0	5	1
47592794	Closed punnet grapes	Closed Punnet grapes						1507		3315.67	60.8844	3254.7856	3254.7856	0	3254.79	1
46128907	Coca Cola Bottle	Coca Cola Bottle						8		21.6	0	21.6	21.6	0	21.6	1
46128908	Coca Zero Bottle	Coca Zero Bottle						8		17.6	0	17.6	17.6	0	17.6	1
50214000	Coconut	Coconut						49		49	0.1265	48.8735	48.8735	0	48.87	1
-39108	cooking apples							1		26	0	26	26	0	26	1
-39108	courgettes							6		75	0	75	75	0	75	1
4590114	Courgettes	Courgettes						1253	996.62000kg	3842.4184	46.5126	3795.9058	3795.9058	558.1072	3237.8	0.85297
4590117	Cress	Cress						316		139.04	3.427	135.613	135.613	53.72	81.89	0.60387
-39108	cucumber							3		3	0	3	3	0	3	1
4590118	Cucumber	Cucumber						8758		5932.22	10.092	5922.128	5922.128	3295.1975	2626.93	0.44358
-39108	cucumber box							1		7.5	0	7.5	7.5	0	7.5	1
48230585	Cucumber mini box	Cucumber mini box						2		8.6	0	8.6	8.6	0	8.6	1
-39108	cucumbers							4		9.1	0	9.1	9.1	0	9.1	1
-39108	cues							9		64.94	0	64.94	64.94	0	64.94	1
-39108	cyprus pot							1		26	0	26	26	0	26	1
51785875	Cyprus potato	Cyprus potato						16	24.82200kg	62.055	6.1705	55.8845	55.8845	0	55.88	1
51082442	Date box small	Date box small						439		654.11	13.3568	640.7532	640.7532	0	640.75	1
46691283	Dates Medjool box	Dates Mejool box						162		808.38	1.9936	806.3864	806.3864	0	806.39	1
4631295	Dates Medjool Loose	Dates Medjoul California						132	24.57400kg	363.6952	0	363.6952	363.6952	196.592	167.1	0.45947
-39108	eggplant							1		18	0	18	18	0	18	1
4580448	Eggs Tray LARGE	Eggs Tray						559		4432.1	0.7329	4431.3671	4431.3671	3046.55	1384.82	0.3125
47887041	Exotics Tu Bishvat	Exotic Fruit Tu Bishvat						453	111.90000kg	2013.081	2.6994	2010.3816	2010.3816	0	2010.38	1
4590164	Fine Beans	Fine Beans						194		327.86	2.5635	325.2965	325.2965	174.6	150.7	0.46326
46128692	Flat Peach 4 for £1	Flat Peach 4 for £1						41		41	0	41	41	9.84	31.16	0.76
-39108	fruit							14		61.7	0.2	61.5	61.5	0	61.5	1
51069422	Fruit Shoot	Fruit Shoot						49		24.5	0	24.5	24.5	0	24.5	1
51069425	Fruit Shoot 3 for £1	Fruit Shoot 3 for £1						188		188	0	188	188	0	188	1
-39108	fruit shoots							2		14	0	14	14	0	14	1
-39108	fruot							1		1.8	0	1.8	1.8	0	1.8	1
-39108	gala							1		22	0	22	22	0	22	1
50336822	Garlic Bulb	Garlic Bulb Large						380		292.6	0.077	292.523	292.523	0	292.52	1
4590122	Garlic Bulb Small	Garlic Bulb Small						157		86.35	1.8185	84.5315	84.5315	0	84.53	1
46030591	Garlic Net	Garlic Net						8		19.2	2.4011	16.7989	16.7989	92	-75.2	-4.47655
-39108	garlic peeled							1		6.5	0	6.5	6.5	0	6.5	1
46152000	Garlic Pre-pack	Garlic Pre-pack						234		561.6	7.9603	553.6397	553.6397	0	553.64	1
45702909	Ginger	Ginger						52	6.36800kg	38.208	2.6963	35.5117	35.5117	0	35.51	1
-39108	golden apples							2		34	0	34	34	0	34	1
-39108	golden box							1		21	0	21	21	0	21	1
-39108	golden del							1		22	0	22	22	0	22	1
-39108	golden delicious							1		21	0	21	21	0	21	1
-39108	granadilla							1		1.2	0	1.2	1.2	0	1.2	1
-39108	granny apples							1		20	0	20	20	0	20	1
-39108	grapefruit							1		5	0	5	5	0	5	1
4577783	Grapefruit Red	Grapefruit Red						660		455.55	8.3647	447.1853	447.1853	382.8	64.39	0.14398
-39108	grapes							9		17.5	0	17.5	17.5	0	17.5	1
-39108	hors radish							1		0.6	0	0.6	0.6	0	0.6	1
-39108	horseradish							5		4.4	0	4.4	4.4	0	4.4	1
9620292	Horseradish	Horseradish						294		1024.8	86.0843	938.7157	938.7157	588	350.72	0.37361
14709407	Horseradish	Horseradish						26	14.66400kg	145.1736	0	145.1736	145.1736	65.988	79.19	0.54544
-39108	horsradish							1		0.4	0	0.4	0.4	0	0.4	1
51130669	Jackfruit	Jackfruit						1		1	0	1	1	0	1	1
-39108	jalapeno							1		0.1	0	0.1	0.1	0	0.1	1
-39108	kiwi							2		2	0	2	2	0	2	1
4577795	Kiwi	Kiwi						1644		739.8	9.0564	730.7436	730.7436	851.36184	-120.62	-0.16506
51655615	Kiwi Berry	Kiwi Berry						1		1.9	0	1.9	1.9	0.51786	1.38	0.72744
46998788	Kiwi Punnet	Kiwi Punnet						59		176.41	31.1225	145.2875	145.2875	0	145.29	1
46030632	Kohlrabi	Kohlrabi						373	270.50200kg	1136.1084	18.3545	1117.7539	1117.7539	676.255	441.5	0.39499
-39108	kumquats							1		1	0	1	1	0	1	1
51541460	Large Cabbage	Large Cabbage						38		39.6	0	39.6	39.6	0	39.6	1
51444342	Large Pomegranate	Large Pomegranate						589		883.5	3.8988	879.6012	879.6012	589	290.6	0.33038
52193367	large watermelon							13		78	0	78	78	0	78	1
-39108	leeks							1		8	0	8	8	0	8	1
4590125	Leeks	Leeks						516	307.94500kg	985.424	11.7601	973.6639	973.6639	585.0955	388.57	0.39908
-39108	lemon							1		24	0	24	24	0	24	1
-39108	lemon box							1		10	0	10	10	0	10	1
-39108	lemons							4		46	0	46	46	0	46	1
4577796	Lemons	Lemons						1570		628.48	9.1579	619.3221	619.3221	455.3	164.02	0.26484
4590128	Lettuce Iceberg	Lettuce Iceberg						202		232.3	4.9779	227.3221	227.3221	151.5	75.82	0.33354
14774910	Lettuce Romaine / Kos	Lettuce Romaine						630		1008	44.024	963.976	963.976	504	459.98	0.47717
9764517	Lime	Lime						93		39.99	1.2466	38.7434	38.7434	14.88	23.86	0.61593
46059428	Loose Nec/Peach	Loose Nec/Peach						52		23.4	0	23.4	23.4	22.36	1.04	0.04444
-39108	loquat							1		2.2	0	2.2	2.2	0	2.2	1
46181620	Lychees 5 for £1	Lychees 5 for £1						503		503	0	503	503	0	503	1
52183532	mango							13		13	0	13	13	0	13	1
19997644	Mango	Mango						611		916.5	25.867	890.633	890.633	794.3	96.33	0.10816
49396924	Mango	Mango						61		61	0	61	61	61	0	0
-39108	meln							1		4	0	4	4	0	4	1
-39108	melon							2		7.5	0	7.5	7.5	0	7.5	1
4580418	Melon Canteloupe	Melon Canteloupe						124		250	2.873	247.127	247.127	198.4	48.73	0.19717
4580415	Melon Galia	Melon Galia						82		205	0.7501	204.2499	204.2499	102.5	101.75	0.49816
7516789	Melon Honeydew	Melon Honeydew						336		940.8	0	940.8	940.8	756	184.8	0.19643
4580417	Melon Piel Desapo	Melon Piel Desapo						8		20	0.5026	19.4974	19.4974	12	7.5	0.38453
-39108	melon water							1		4	0	4	4	0	4	1
4592058	Milk	Milk						4550		6779.5	0.2559	6779.2441	6779.2441	5414.5	1364.74	0.20131
-39108	mini cues							1		0.4	0	0.4	0.4	0	0.4	1
51657143	Mini potatoes 2.5kg	Mini potatoes 2.5 kg						18		67.5	0	67.5	67.5	0	67.5	1
48242178	Miniature Salad Potatoes 2.5kg	Miniature potatoes 2.5 kg						455		2270.45	1.2475	2269.2025	2269.2025	0	2269.2	1
-39108	misc							240		2293.23	13.9104	2279.3196	2279.3196	0	2279.32	1
-39108	misc adish							10		43.15	0	43.15	43.15	0	43.15	1
-39108	misc aple							1		2.99	0	2.99	2.99	0	2.99	1
-39108	misc aples							2		14.1	0	14.1	14.1	0	14.1	1
-39108	misc apple							6		15.95	0.5983	15.3517	15.3517	0	15.35	1
-39108	misc apples							48		211.21	6.1969	205.0131	205.0131	0	205.01	1
-39108	misc apricot							12		29.5	0	29.5	29.5	0	29.5	1
-39108	misc apricots							2		3.5	0	3.5	3.5	0	3.5	1
-39108	misc asparagus							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misc aubergine							11		160.5	0	160.5	160.5	0	160.5	1
-39108	misc aubergines							1		16	0	16	16	0	16	1
-39108	misc aubs							1		16	0	16	16	0	16	1
-39108	misc avo							163		207.3	2.1618	205.1382	205.1382	0	205.14	1
-39108	misc avocado							5		5.4	0	5.4	5.4	0	5.4	1
-39108	misc avos							8		9	0	9	9	0	9	1
-39108	misc baby cue							1		1	0	1	1	0	1	1
-39108	misc baby cues							1		1	0	1	1	0	1	1
-39108	misc baby leek							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc baby mushroom							1		1.35	0	1.35	1.35	0	1.35	1
-39108	misc baby pots							1		11.5	0	11.5	11.5	0	11.5	1
-39108	misc baby roast							1		12	0	12	12	0	12	1
-39108	misc baby roast box							1		11.5	0	11.5	11.5	0	11.5	1
-39108	misc banana							22		10.73	0	10.73	10.73	0	10.73	1
-39108	misc bananas							1		22.5	0	22.5	22.5	0	22.5	1
-39108	misc berries							17		50.7	0	50.7	50.7	0	50.7	1
-39108	misc berry							49		140.8	0.56	140.24	140.24	0	140.24	1
-39108	misc box apples							1		22	0	22	22	0	22	1
-39108	misc box aubergine							2		30.5	0	30.5	30.5	0	30.5	1
-39108	misc box baby roast							1		12.5	0	12.5	12.5	0	12.5	1
-39108	misc box brae							1		20	0	20	20	0	20	1
-39108	misc box cookers							1		24	0	24	24	0	24	1
-39108	misc box courgettes							1		23	0	23	23	0	23	1
-39108	misc box cues							1		9	0	9	9	0	9	1
-39108	misc box orqnges							1		4.99	0	4.99	4.99	0	4.99	1
-39108	misc box pears							1		23	0	23	23	0	23	1
-39108	misc box plums							1		15	0	15	15	0	15	1
-39108	misc box potatoes							1		5	0	5	5	0	5	1
-39108	misc box red pepper							1		18	0	18	18	0	18	1
-39108	misc braeburn							2		44	0	44	44	0	44	1
-39108	misc butternut							2		25.5	0	25.5	25.5	0	25.5	1
-39108	misc butternut x 4							1		5	0	5	5	0	5	1
-39108	misc cabbage							15		24.3	0	24.3	24.3	0	24.3	1
-39108	misc cane							1		1	0	1	1	0	1	1
-39108	misc card							1		0.36	0	0.36	0.36	0	0.36	1
-39108	misc carrot							1		1	0	1	1	0	1	1
-39108	misc carrots							6		44.1	0	44.1	44.1	0	44.1	1
-39108	misc cconut							1		0.5	0	0.5	0.5	0	0.5	1
-39108	misc cconuts							1		1.5	0	1.5	1.5	0	1.5	1
-39108	misc ccumber							1		1	0	1	1	0	1	1
-39108	misc cgerry							1		1	0	1	1	0	1	1
-39108	misc cherry							12		28.3	0.6009	27.6991	27.6991	0	27.7	1
-39108	misc chicory							1		6	0	6	6	0	6	1
-39108	misc clearance							1		0.4	0	0.4	0.4	0	0.4	1
-39108	misc cocnut							2		1	0	1	1	0	1	1
-39108	misc coconut							28		21	0	21	21	0	21	1
-39108	misc coconuts							2		1.5	0	1.5	1.5	0	1.5	1
-39108	misc courget box							1		9.5	0	9.5	9.5	0	9.5	1
-39108	misc courgette							1		11	0	11	11	0	11	1
-39108	misc courgettes							3		34	0	34	34	0	34	1
-39108	misc cours							1		12.5	0	12.5	12.5	0	12.5	1
-39108	misc cranberry							1		2	0	2	2	0	2	1
-39108	misc cucmber							1		1.47	0	1.47	1.47	0	1.47	1
-39108	misc cucumber							9		21.14	0	21.14	21.14	0	21.14	1
-39108	misc cue							2		1.38	0	1.38	1.38	0	1.38	1
-39108	misc cues							23		58.92	0	58.92	58.92	0	58.92	1
-39108	misc cus							2		6.52	0	6.52	6.52	0	6.52	1
-39108	misc dates							9		19.89	0	19.89	19.89	0	19.89	1
-39108	misc drinks							1		7	0	7	7	0	7	1
-39108	misc eates							1		2.98	0	2.98	2.98	0	2.98	1
-39108	misc eggs							2		97	0	97	97	0	97	1
-39108	misc fennel							1		2	0	2	2	0	2	1
-39108	misc fennel and chicory							1		20	0	20	20	0	20	1
-39108	misc figs							1		5.7	0	5.7	5.7	0	5.7	1
-39108	misc fruit							62		181.86	0.2402	181.6198	181.6198	0	181.62	1
-39108	misc fruit shoot							5		35	0	35	35	0	35	1
-39108	misc fruit shoots							5		35	0	35	35	0	35	1
-39108	misc fruit summer							1		7.5	0	7.5	7.5	0	7.5	1
-39108	misc fruit whoots							1		7	0	7	7	0	7	1
-39108	misc fruits							1		26.59	0	26.59	26.59	0	26.59	1
-39108	misc fruitshoot							1		7	0	7	7	0	7	1
-39108	misc fuit							3		7.5	0	7.5	7.5	0	7.5	1
-39108	misc gapes							1		1	0	1	1	0	1	1
-39108	misc garlc							1		6.5	0	6.5	6.5	0	6.5	1
-39108	misc garlic							13		84.2	0	84.2	84.2	0	84.2	1
-39108	misc golden del							1		40	0	40	40	0	40	1
-39108	misc golden dels							1		22	0	22	22	0	22	1
-39108	misc grandilla							3		22	0	22	22	0	22	1
-39108	misc granny smith							1		20	0	20	20	0	20	1
-39108	misc grape							2		2	0	2	2	0	2	1
-39108	misc grapes							115		272.6	0	272.6	272.6	0	272.6	1
-39108	misc graps							3		12.5	0	12.5	12.5	0	12.5	1
-39108	misc honey							1		12	0	12	12	0	12	1
-39108	misc horseadish							1		1	0	1	1	0	1	1
-39108	misc horseradish							1		5	0	5	5	0	5	1
-39108	misc ineapple							1		0.5	0	0.5	0.5	0	0.5	1
-39108	misc jalapeno							2		2.1	0	2.1	2.1	0	2.1	1
-39108	misc jalepeno							1		0.1	0	0.1	0.1	0	0.1	1
-39108	misc kiwi							4		6.6	0	6.6	6.6	0	6.6	1
-39108	misc kumquat							1		1	0	1	1	0	1	1
-39108	misc kumquats							1		0.5	0	0.5	0.5	0	0.5	1
-39108	misc kwi							1		1	0	1	1	0	1	1
-39108	misc leek x 6							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc lemons							1		10	0	10	10	0	10	1
-39108	misc lettce							1		7.5	0	7.5	7.5	0	7.5	1
-39108	misc lettuce							6		22.5	0	22.5	22.5	0	22.5	1
-39108	misc lyche							1		12	0	12	12	0	12	1
-39108	misc lychee							10		67.4	0	67.4	67.4	0	67.4	1
-39108	misc lychees							12		134	1.4036	132.5964	132.5964	0	132.6	1
-39108	misc mango							2		1.08	0	1.08	1.08	0	1.08	1
-39108	misc meln							9		41	1.1014	39.8986	39.8986	0	39.9	1
-39108	misc melon							34		170.75	3.2984	167.4516	167.4516	0	167.45	1
-39108	misc melons							1		1.8	0	1.8	1.8	0	1.8	1
-39108	misc mili							1		8.94	0	8.94	8.94	0	8.94	1
-39108	misc milk							1		2.47	0	2.47	2.47	0	2.47	1
