ProductID	Name	Description	Barcode	OrderCode	Brand	Size	Qty	MeasuredQty	Value	Discount	ValueIncVAT	ValueExcVAT	TotCost	Margin	MarginPerc
-39108	misc mln							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misc mooli							1		3	0	3	3	0	3	1
-39108	misc mshroom							1		7.7	0	7.7	7.7	0	7.7	1
-39108	misc mush							2		8.2	0	8.2	8.2	0	8.2	1
-39108	misc mushroom							6		29.75	0	29.75	29.75	0	29.75	1
-39108	misc mushrooms							7		75.91	7.201	68.709	68.709	0	68.71	1
-39108	misc nctarine							3		7.5	0	7.5	7.5	0	7.5	1
-39108	misc necarine							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc nectarine							19		60.49	0	60.49	60.49	0	60.49	1
-39108	misc neftarine							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc nions							1		8.5	0	8.5	8.5	0	8.5	1
-39108	misc non							1		0.4	0	0.4	0.4	0	0.4	1
-39108	misc nts							1		2	0	2	2	0	2	1
-39108	misc nurs							1		2	0	2	2	0	2	1
-39108	misc nuts							15		38	0	38	38	0	38	1
-39108	misc oanges							1		4.99	2.0229	2.9671	2.9671	0	2.97	1
-39108	misc oms							1		1.5	0	1.5	1.5	0	1.5	1
-39108	misc onin sack *6							1		87	0	87	87	0	87	1
-39108	misc onins							1		1	0	1	1	0	1	1
-39108	misc onion							11		20.5	0	20.5	20.5	0	20.5	1
-39108	misc onion sack							1		17.5	0	17.5	17.5	0	17.5	1
-39108	misc onions							26		192.25	2.7537	189.4963	189.4963	0	189.5	1
-39108	misc onons							1		5	0	5	5	0	5	1
-39108	misc orange							1		4.99	0.8328	4.1572	4.1572	0	4.16	1
-39108	misc oranges							10		52.4	2.5613	49.8387	49.8387	0	49.84	1
-39108	misc orangs							1		4.99	0	4.99	4.99	0	4.99	1
-39108	misc ots							1		16	0	16	16	0	16	1
-39108	misc pach							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc papaya							8		22.88	4.8983	17.9817	17.9817	0	17.98	1
-39108	misc paper bags							1		1.8	0	1.8	1.8	0	1.8	1
-39108	misc passion							10		21.5	1	20.5	20.5	0	20.5	1
-39108	misc peach							23		43.97	0	43.97	43.97	0	43.97	1
-39108	misc peaches							12		28.45	0	28.45	28.45	0	28.45	1
-39108	misc pears							2		25.15	0	25.15	25.15	0	25.15	1
-39108	misc peeled garlic							3		18.5	0	18.5	18.5	0	18.5	1
-39108	misc peeled pots							2		23.42	0	23.42	23.42	0	23.42	1
-39108	misc peeledgarlic							1		6	0	6	6	0	6	1
-39108	misc pepoer							1		0.3	0	0.3	0.3	0	0.3	1
-39108	misc pepper							2		5.49	0	5.49	5.49	0	5.49	1
-39108	misc peppers							4		8.79	0	8.79	8.79	0	8.79	1
-39108	misc pesach book							1		15	0	15	15	0	15	1
-39108	misc piatoes							1		13	0	13	13	0	13	1
-39108	misc pine							2		1	0	1	1	0	1	1
-39108	misc pineapple							3		2	0	2	2	0	2	1
-39108	misc pink lady							5		85.98	0	85.98	85.98	0	85.98	1
-39108	misc pistachios							1		4	0	4	4	0	4	1
-39108	misc pitatoes							1		16.5	0	16.5	16.5	0	16.5	1
-39108	misc pits							3		16.04	0	16.04	16.04	0	16.04	1
-39108	misc plms							1		24	0	24	24	0	24	1
-39108	misc plum							1		11	0	11	11	0	11	1
-39108	misc plums							1		10	0	10	10	0	10	1
-39108	misc pomello							1		0.99	0	0.99	0.99	0	0.99	1
-39108	misc pomllo							1		0.99	0	0.99	0.99	0	0.99	1
-39108	misc pomme							35		79.1	0	79.1	79.1	0	79.1	1
-39108	misc pos							1		1	0	1	1	0	1	1
-39108	misc potatoes							13		159.89	0	159.89	159.89	0	159.89	1
-39108	misc pots							25		234.78	2.9996	231.7804	231.7804	0	231.78	1
-39108	misc pts							2		2	0	2	2	0	2	1
-39108	misc qpples							1		0.9	0	0.9	0.9	0	0.9	1
-39108	misc qvo							5		4.4	0.0805	4.3195	4.3195	0	4.32	1
-39108	misc qvocado							1		19	0	19	19	0	19	1
-39108	misc radi							1		1	0	1	1	0	1	1
-39108	misc radish							66		240.8	0.1398	240.6602	240.6602	0	240.66	1
-39108	misc rduced							1		4	0	4	4	0	4	1
-39108	misc red nin sack							1		7	0	7	7	0	7	1
-39108	misc sa							1		13	0	13	13	0	13	1
-39108	misc sack carrots							2		19	0	19	19	0	19	1
-39108	misc sack onions							4		49.5	0	49.5	49.5	0	49.5	1
-39108	misc sack pits							2		32	0	32	32	0	32	1
-39108	misc sack potatoes							5		77.5	0	77.5	77.5	0	77.5	1
-39108	misc sack pots							21		351	0	351	351	0	351	1
-39108	misc sack spanish							5		89	0	89	89	0	89	1
-39108	misc sackpots							1		16	0	16	16	0	16	1
-39108	misc sacks pots							1		32	0	32	32	0	32	1
-39108	misc shallot							1		1.6	0	1.6	1.6	0	1.6	1
-39108	misc shallots							3		1.6	0	1.6	1.6	0	1.6	1
-39108	misc sharon							23		87.5	1.2281	86.2719	86.2719	0	86.27	1
-39108	misc sharon fruit							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misc sof fruit							1		5	0	5	5	0	5	1
-39108	misc soft fruit							5		20	0	20	20	0	20	1
-39108	misc softfruit							1		5	0	5	5	0	5	1
-39108	misc sot fruit							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc spanish onion							1		17.5	0	17.5	17.5	0	17.5	1
-39108	misc spanish onions							2		35.5	0	35.5	35.5	0	35.5	1
-39108	misc sprouts							1		0.4	0.0805	0.3195	0.3195	0	0.32	1
-39108	misc stafruit							1		1	0	1	1	0	1	1
-39108	misc star							1		1	0	1	1	0	1	1
-39108	misc starfruit							7		11	0	11	11	0	11	1
-39108	misc staws							1		3.2	0	3.2	3.2	0	3.2	1
-39108	misc steas							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc stras							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misc straw							1		1.6	0	1.6	1.6	0	1.6	1
-39108	misc strawberry							8		33.6	0	33.6	33.6	0	33.6	1
-39108	misc strawnerry							1		4	0	4	4	0	4	1
-39108	misc straws							15		69.3	0	69.3	69.3	0	69.3	1
-39108	misc sweet pots							1		12	0	12	12	0	12	1
-39108	misc sweetpotatoes							1		17	0	17	17	0	17	1
-39108	misc tamarind							4		4.4	0	4.4	4.4	0	4.4	1
-39108	misc tangerine							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misc tangy							5		14.72	0	14.72	14.72	0	14.72	1
-39108	misc tms							3		4.5	0	4.5	4.5	0	4.5	1
-39108	misc tomato							1		0.6	0	0.6	0.6	0	0.6	1
-39108	misc tomatoe							1		3	0	3	3	0	3	1
-39108	misc tomatoes							8		82	0	82	82	0	82	1
-39108	misc toms							23		38.17	1.5945	36.5755	36.5755	0	36.58	1
-39108	misc trapes							2		1.6	0	1.6	1.6	0	1.6	1
-39108	misc turnip							1		2.5	0	2.5	2.5	0	2.5	1
-39108	misc veg							67		774.96	4.4693	770.4907	770.4907	0	770.49	1
-39108	misc veg pack							1		1.8	0	1.8	1.8	0	1.8	1
-39108	misc vegpack							1		1.8	0	1.8	1.8	0	1.8	1
-39108	misc vg							2		10.62	0	10.62	10.62	0	10.62	1
-39108	misc voucher							1		45	0	45	45	0	45	1
-39108	misc vt							1		27.26	0	27.26	27.26	0	27.26	1
-39108	misc water							7		34.1	0	34.1	34.1	0	34.1	1
-39108	misc watermelon							5		19.5	0	19.5	19.5	0	19.5	1
-39108	misc wtraws							1		4	0	4	4	0	4	1
-39108	misc wvo							1		2	0	2	2	0	2	1
-39108	miscallenous							1		24.5	0	24.5	24.5	0	24.5	1
-39108	miscavo							16		18	0	18	18	0	18	1
-39108	miscavos							1		5	0	5	5	0	5	1
-39108	miscbanana							1		0.6	0	0.6	0.6	0	0.6	1
-39108	miscberries							1		1.6	0	1.6	1.6	0	1.6	1
-39108	miscberry							2		2.8	0	2.8	2.8	0	2.8	1
-39108	miscbwharon							1		3.5	0	3.5	3.5	0	3.5	1
-39108	misccsack pots							1		16	0	16	16	0	16	1
-39108	miscfruit							1		2.5	0	2.5	2.5	0	2.5	1
-39108	miscgrapes							1		1.5	0	1.5	1.5	0	1.5	1
-39108	misclchee							1		0.6	0	0.6	0.6	0	0.6	1
-39108	misclychee							1		0.4	0	0.4	0.4	0	0.4	1
-39108	miscmlon							1		5.5	1.1	4.4	4.4	0	4.4	1
-39108	misconions							1		12	0	12	12	0	12	1
-39108	miscpeaches							1		2.1	0	2.1	2.1	0	2.1	1
-39108	miscshallt							1		1.6	0	1.6	1.6	0	1.6	1
-39108	miscsteawberry							1		2	0	2	2	0	2	1
-39108	miscvavos							1		3	0	3	3	0	3	1
-39108	miscveg							4		64.3	0	64.3	64.3	0	64.3	1
-39108	miscwtraws							1		4	0	4	4	0	4	1
-39108	mush							1		15.4	0	15.4	15.4	0	15.4	1
-39108	mushroom							8		40.36	0	40.36	40.36	0	40.36	1
4590129	Mushroom	Mushroom						292	103.73200kg	475.09256	9.7406	465.35196	465.35196	248.9568	216.4	0.46501
-39108	mushroom box							1		7.7	0	7.7	7.7	0	7.7	1
46578422	Mushroom Punnet	Mushroom Punnet						1618		2022.5	50.7864	1971.7136	1971.7136	0	1971.71	1
-39108	mushroom tray							2		15.4	0	15.4	15.4	0	15.4	1
-39108	mushrooms							9		107.86	0	107.86	107.86	0	107.86	1
-39108	nctarine							2		5	0	5	5	0	5	1
-39108	nectarine							11		33.75	0	33.75	33.75	0	33.75	1
52186058	nectarine large							55		164.45	0	164.45	164.45	0	164.45	1
49372420	Nectarine Loose	Nectarine Loose						88		39.6	0	39.6	39.6	0	39.6	1
46073190	Nectarine Punnet	Nectarine Punnet						669		1621	7.9431	1613.0569	1613.0569	936.6	676.46	0.41936
48855798	Nectarine Punnet 1kg LARGE	Nectarine Punnet 1kg LARGE						2		5.98	0	5.98	5.98	2.8	3.18	0.53177
-39108	nectarines							3		12.5	0	12.5	12.5	0	12.5	1
-39108	nuts							9		19.5	0	19.5	19.5	0	19.5	1
-39108	onins							2		15	0	15	15	0	15	1
-39108	onion							5		21.6	0	21.6	21.6	0	21.6	1
51402838	Onion Bag	Onion Bag						1		0.5	0	0.5	0.5	1	-0.5	-1
-39108	onion half sack							1		12	0	12	12	0	12	1
51541462	Onion Net	Onion Net						28		28	0	28	28	0	28	1
4590131	Onion Red	Onion Red						421	180.16600kg	260.0656	3.5415	256.5241	256.5241	192.77762	63.75	0.24851
-39108	onion sack							1		19	0	19	19	0	19	1
-39108	onions							15		116.1	0	116.1	116.1	0	116.1	1
4590130	Onions	Onions						1783	2250.83400kg	3038.6259	16.5537	3022.0722	3022.0722	2250.834	771.24	0.2552
45126940	Onions SPANISH	Onions SPANISH						695	1320.48600kg	2376.8748	27.4421	2349.4327	2349.4327	1650.6075	698.83	0.29744
-39108	onons							1		0.9	0	0.9	0.9	0	0.9	1
48018074	Open punnet Grapes	Open punnet Grapes						11		15.4	0	15.4	15.4	0	15.4	1
46128911	Orange Juice Princess Bottle	Orange Juice Princess Bottle						6		11.94	0	11.94	11.94	0	11.94	1
4580428	Orange Large	Orange Large						1347		929.43	32.0238	897.4062	897.4062	386.14449	511.26	0.56971
4580429	Orange Small	Orange Small						1896		549.84	17.2904	532.5496	532.5496	530.88	1.67	0.00314
-39108	oranges							10		74.39	0	74.39	74.39	0	74.39	1
-39108	owed							1		0.08	0	0.08	0.08	0	0.08	1
-39108	papaya							1		2.5	0	2.5	2.5	0	2.5	1
47744198	Papaya	Papaya						4		11.96	0	11.96	11.96	0	11.96	1
4590132	Parsnip	Parsnip						519	209.71800kg	587.2104	4.8849	582.3255	582.3255	371.20086	211.12	0.36255
-39108	passion							4		5	0	5	5	0	5	1
-39108	passion fruit							1		13	0	13	13	0	13	1
4580431	Passion Fruit	Passion Fruit						62		24.18	0.1562	24.0238	24.0238	27.9	-3.88	-0.16135
46682933	Passion Fruit 3 for £1	Passion Fruit 3 for £1						1171		1171	2.3167	1168.6833	1168.6833	0	1168.68	1
-39108	passion fruot							1		2.5	0	2.5	2.5	0	2.5	1
-39108	peach							5		10.95	0	10.95	10.95	0	10.95	1
4580433	Peach Punnet	Peach Punnet						5		12.5	0	12.5	12.5	5	7.5	0.6
-39108	peaches							4		16.6	0	16.6	16.6	0	16.6	1
46627206	Pear Conference Punnet	Pear Conference Punnet						315		882	14.0026	867.9974	867.9974	504	364	0.41935
-39108	pears							2		46	0	46	46	0	46	1
4580434	Pears Conference	Pears Conference						731	718.38200kg	2147.96218	37.1676	2110.79458	2110.79458	926.71278	1184.08	0.56096
-39108	peas							1		16	0	16	16	0	16	1
48138712	Peas in the pod	Peas on the pod						209	67.40400kg	471.828	0.595	471.233	471.233	0	471.23	1
7516871	Peeled Potato Regular 10KG	Peeled Potato Regular 10KG						17		324.7	0	324.7	324.7	204	120.7	0.37173
-39108	peppers							1		36	0	36	36	0	36	1
46085511	Peppers Mixed Pack	Peppers Mixed Pack						219		523.41	14.8288	508.5812	508.5812	175.2	333.38	0.65551
4590139	Peppers Red	Peppers Red						1622	1046.62400kg	4405.32742	88.7205	4316.60692	4316.60692	837.2992	3479.31	0.80603
-39108	peppers sweet							1		1	0	1	1	0	1	1
4590141	Peppers Yellow	Peppers Yellow						239	117.23600kg	492.54886	9.2323	483.31656	483.31656	150.06208	333.25	0.68952
4580437	Physallis Punnet	Physallis Punnet						120		202.8	0	202.8	202.8	120	82.8	0.40828
-39108	pineapple							1		0.5	0	0.5	0.5	0	0.5	1
4580438	Pineapple Large	Pineapple Large						314		750.46	13.6323	736.8277	736.8277	496.12	240.71	0.32668
52173822	pink lady tub							12		35.88	0	35.88	35.88	0	35.88	1
-39108	plum							1		2.4	0	2.4	2.4	0	2.4	1
-39108	plum punnet							1		1.5	0	1.5	1.5	0	1.5	1
4580440	Plum Red Loose	Plum Red Loose						608	338.11200kg	1217.2032	39.538	1177.6652	1177.6652	98.05248	1079.61	0.91674
-39108	plums							2		37	0	37	37	0	37	1
-39108	poatoes							1		16	0	16	16	0	16	1
49502560	Pomegranate	Pomegranate						71		71	0.5995	70.4005	70.4005	71	-0.6	-0.00852
4592059	Pomello	Pomello						231		457.38	2.8951	454.4849	454.4849	288.75	165.73	0.36467
-39108	pomme							2		5.1	0	5.1	5.1	0	5.1	1
-39108	pot							1		15	0	15	15	0	15	1
4590146	Potato 2kg Bag	Potato 2kg Bag						3361		6147.3	24.5248	6122.7752	6122.7752	4369.3	1753.48	0.28639
46077562	Potato Loose	Potato Loose						239	358.30300kg	429.9636	23.3876	406.576	406.576	358.303	48.27	0.11872
-39108	potatoes							15		219.9	0	219.9	219.9	0	219.9	1
4590143	Potatoes Baby Roast	Potatoes Baby Roast						519	553.67400kg	1245.7665	3.0228	1242.7437	1242.7437	1201.47258	41.27	0.03321
-39108	pots							5		55.46	0	55.46	55.46	0	55.46	1
19247718	Pre Pack Apple	Pre Pack Apple						549		1092.51	10.4028	1082.1072	1082.1072	107.055	975.05	0.90107
46475425	Princess orange/apple	Princess orange/apple						6		9	0	9	9	0	9	1
51657149	Prune Tub	Prune Tub						156		466.44	0.0934	466.3466	466.3466	0	466.35	1
47399643	Punnet Plum	Punnet Plum						6		6	0	6	6	0	6	1
-39108	raddish							1		2.5	0	2.5	2.5	0	2.5	1
-39108	radish							11		21.93	0	21.93	21.93	0	21.93	1
51967479	Radish bunch	Radish bunch						37		92.5	18.7531	73.7469	73.7469	12.395	61.35	0.83193
4590150	Radish Pack	Radish Pack						144		95.04	6.7981	88.2419	88.2419	48.24	40	0.45332
50438973	Recipe Book	Recipe Book						3		45	0	45	45	0	45	1
50207637	Red Dragon Fruit	Red Dragon Fruit						26		91	0	91	91	0	91	1
45598704	Red/Green chili peppers	Red/Green chili peppers						299		59.8	0.6025	59.1975	59.1975	4503.538	-4444.34	-75.07649
51402854	Redcurrent	Redcurrent						6		7.2	0	7.2	7.2	0	7.2	1
-39108	reduced fruit							1		3	0	3	3	0	3	1
-39108	rhubarb							1		20	0	20	20	0	20	1
4590151	Rhubarb	Rhubarb						26	23.60200kg	94.408	6.9327	87.4753	87.4753	118.01	-30.53	-0.34904
50153533	Roasted Almonds	Roasted Almonds						65		97.5	0	97.5	97.5	78	19.5	0.2
50153547	Roasted Pistachios	Roasted Pistachios						191		286.5	0.3796	286.1204	286.1204	229.2	56.92	0.19894
52169649	Sack of Potato 10x2kg	Sack of Potato 10x2kg						4		52	0	52	52	0	52	1
-39108	sack onions							2		24.5	0	24.5	24.5	0	24.5	1
-39108	sack potato							1		12	0	12	12	0	12	1
-39108	sack potato x 2							1		26	0	26	26	0	26	1
-39108	sack potatoes							3		48	0	48	48	0	48	1
-39108	sack pots							11		189	0	189	189	0	189	1
-39108	sack soreya							2		26	0	26	26	0	26	1
-39108	shallots							1		1.6	0	1.6	1.6	0	1.6	1
46301462	Shallots	Shallots						47		30.8	0.6011	30.1989	30.1989	0	30.2	1
9941569	Sharon fruit	Sharon New Season Spanish						574		281.26	1.5696	279.6904	279.6904	229.6	50.09	0.17909
46984385	Sharon punnet	Sharon fruit punnet						37		129.5	0	129.5	129.5	0	129.5	1
51444397	Singo Pear	Singo Pear						12		12	0	12	12	0	12	1
51782251	Small Cabbage	Small Cabbage						23		17.25	0	17.25	17.25	0	17.25	1
52194764	small nectarine							42		67.2	0	67.2	67.2	0	67.2	1
50694402	Smoothie Pop	Smoothie Pop						1		0.8	0	0.8	0.8	0	0.8	1
-39108	sof fruit							1		5	0	5	5	0	5	1
-39108	soft fruit							2		7.5	0	7.5	7.5	0	7.5	1
-39108	spanish nion							1		18	0	18	18	0	18	1
-39108	spanish onins							1		18.5	0	18.5	18.5	0	18.5	1
-39108	spanish sack							1		18	0	18	18	0	18	1
50207600	Star Fruit	Star Fruit						16		8	0	8	8	0	8	1
-39108	starfruit							2		2	0	2	2	0	2	1
-39108	stawberry							2		6	0	6	6	0	6	1
-39108	steaws							1		2	0	2	2	0	2	1
52194043	strawberries							16		16	0	16	16	0	16	1
-39108	strawberry							8		29.3	0	29.3	29.3	0	29.3	1
4580443	Strawberry Punnet	Strawberry Punnet	8453108234					315		340.6	0	340.6	340.6	567	-226.4	-0.66471
-39108	straws							4		10.3	0	10.3	10.3	0	10.3	1
4590168	Sugar Snaps	Sugar Snaps						234		395.46	5.6949	389.7651	389.7651	257.4	132.37	0.3396
50207613	Sugarcane	Sugarcane						31		31	0	31	31	0	31	1
-39108	swede							1		0.75	0	0.75	0.75	0	0.75	1
4590152	Swede	Swede						168	189.69400kg	339.4264	4.8805	334.5459	334.5459	104.3317	230.21	0.68814
52176350	sweet pepper							1		1	0	1	1	0	1	1
-39108	sweet pits							1		12.5	0	12.5	12.5	0	12.5	1
-39108	sweet pot box							2		20	0	20	20	0	20	1
4590154	Sweet Potato	Sweet Potato						1207	1215.77800kg	3635.17622	12.3242	3622.85202	3622.85202	121.5778	3501.27	0.96644
-39108	sweet potatoes							1		12	0	12	12	0	12	1
-39108	sweet pots							6		64.5	0	64.5	64.5	0	64.5	1
14068110	Tamarind	Tamarind						36		107.64	0.949	106.691	106.691	64.8	41.89	0.39264
4580444	Tangerine Loose	Tangerines / Clems Loose						762	745.85000kg	2461.305	62.7545	2398.5505	2398.5505	2386.72	11.83	0.00493
47330567	Tangerine PUNNET	Tangerine PUNNET						813		2845.5	3.9923	2841.5077	2841.5077	0	2841.51	1
-39108	tarlic							1		6.5	0	6.5	6.5	0	6.5	1
-39108	tom							1		18	0	18	18	0	18	1
4590159	Tomato Cherry Punnet	Tomato Cherry Punnet						1557		1868.4	14.2807	1854.1193	1854.1193	1255.98519	598.13	0.3226
4590157	Tomato Loose/Vine	Tomato Loose/Vine						711	454.14400kg	2004.71576	34.6832	1970.03256	1970.03256	2089.0624	-119.03	-0.06042
48935674	Tomato Plum Tub	Tomato Plum Tub						10		4.5	0	4.5	4.5	0	4.5	1
-39108	tomato x 2 boxes							1		23	0	23	23	0	23	1
-39108	tu bishvat fruit							2		150	0	150	150	0	150	1
-39108	turnip							1		11	0	11	11	0	11	1
50491835	Turnip	Turnip						24	11.03800kg	39.95756	2.3833	37.57426	37.57426	6.18128	31.39	0.8355
-39108	veg							4		17.99	0	17.99	17.99	0	17.99	1
51655611	Vegetable soup pack	Vegetable soup pack						3		5.4	0	5.4	5.4	0	5.4	1
51602809	Vine Cherry Punnet	Cherry Tomato Tub						1		1	0	1	1	0.80667	0.19	0.19333
49804704	Vine Cherry Punnet	Vine Cherry Punnet						12		26.4	0	26.4	26.4	9.68004	16.72	0.63333
50342025	Water Bottle 500ml	Water Bottles 500ml						290		72.5	0.125	72.375	72.375	0	72.38	1
46128909	Water Bottle Large	Water Bottle Large						12		10.2	0	10.2	10.2	0	10.2	1
51663404	Water Bottles - 24	Water Bottles - 24						7		33.6	0	33.6	33.6	0	33.6	1
50246432	Water Bottles - 24	Water Bottles - 24						540		2592	0	2592	2592	0	2592	1
-39108	watermeln and fruit							1		25.5	0	25.5	25.5	0	25.5	1
48921831	Watermelon 4s	Watermelon						31		135	0	135	135	0	135	1
52173138	watermelon 6s							36		144	0	144	144	0	144	1
-39108	wnky pots							1		1	0	1	1	0	1	1
48496471	Yellow cherry tomatoes stem.	Yellow Cherry Tomatoes						55		55	0	55	55	0	55	1
50207632	Yellow Pithaya	Yellow Pithaya						12		42	0	42	42	0	42	1
	Total:							71150		132051.9717	1398.5836	130653.3881	130653.3881	74086.68402	56566.72	423.36576
