epos_name,epos_category,sell_price_gbp,sell_unit,invoice_match,supplier,box_cost_gbp,box_spec,cost_per_unit_gbp,gross_margin_pct,rag,notes
Apples Golden,Apples,2.99,per kg,APPLE GOLDEN DELICIOUS FR 12KG,Dole,18.00,12KG,1.50,49.8,GREEN,Good margin
Apples Gala,Apples,2.99,per kg,APPLE ROYAL GALA FR 12KG,Dole,18.00,12KG,1.50,49.8,GREEN,Good margin
Apples Granny,Apples,2.99,per kg,APPLE GRANNY SMITH FR 13KG,Dole,19.00,13KG,1.46,51.2,GREEN,Good margin
Apples Red Delicious,Apples,2.99,per kg,APPLE RED DELICIOUS ITALY 12KG,Dole,21.00,12KG,1.75,41.5,GREEN,Good margin
Apples Pink Lady,Apples,4.33,per kg,APPLE PINK LADY FR 4KG,Dole,7.50,~4KG,1.875,56.7,GREEN,Strong margin. Premium product justifies premium price
Pre Pack Apple,Apples,1.99,per prepacked bag,APPLE VARIOUS,Dole,12.00,12 bags,1.00,49.7,GREEN,£1 cost per prepack bag; sell £1.99 = 50% margin
pink lady tub,Apples,2.99,per tub,APPLE PINK LADY FR 4KG,Dole,7.50,~4KG,1.875,37.3,AMBER,If selling 500G tub at £2.99: cost ~94p; margin 69%. If per kg: cost £1.875 sell £2.99 = 37% margin
Pink Lady Pack,Apples,3.00,per pack,APPLE PINK LADY FR 4KG,Dole,7.50,~4KG,1.875,37.5,AMBER,Near-duplicate of pink lady tub. Consolidate. Price at £3.49-3.99 for better margin
Pink Lady Box,Wholesale,21.00,per box,APPLE PINK LADY FR 4KG box,Dole,7.50,4KG,7.50,64.3,GREEN,Selling 4KG box at £21 costs £7.50 → 64% margin. Excellent wholesale margin
Watermelon 4s,Melons,5.50,per piece,MELON WATER CR 4/16KG,Dole,19.50,4 units ~16KG,4.875,11.4,RED,Very thin at CR price. Brazil 5/16KG at £13 = £2.60 each → 53% margin = GREEN. Origin-dependent
Watermelon 6s,Melons,4.00,per piece,MELON WATER SMALLER,Various,,,,,NO_COST,No 6-count watermelon in delivery notes. Likely smaller melons. Cost unknown
Honeydew large,Melons,3.50,per piece,MELON HONEYDEW ES 6/5KG,Dole,6.00,6 units ~5KG,1.00,71.4,GREEN,ES 6/5KG at £6 = £1/melon. Selling £3.50 = 71% margin. Only valid if buying Spanish. Brazil 7/15KG at £21 = £3/melon → margin 14% = RED
Melon Honeydew,Melons,2.80,per piece,MELON HONEYDEW ES 6/5KG,Dole,6.00,6 units ~5KG,1.00,64.3,GREEN,Same as above. ES = 64% margin. Brazil = nearly break-even. TRACK ORIGIN
Melon Canteloupe,Melons,2.00,per piece,MELON CANTALOUPE BRAZIL 5/5KG,Dole,6.00,5 units ~5KG,1.20,40.0,GREEN,Good margin
Melon Galia,Melons,2.50,per piece,MELON GALIA BRAZIL 6/5KG,Dole,5.00 - 9.00,6 units ~5KG,0.83 - 1.50,40.0 - 66.8,GREEN,Range depending on supplier and season
Melon Piel Desapo,Melons,2.50,per piece,MELON PIEL DESAPO CR 9/15KG,Dole,17.00,9 units ~15KG,1.89,24.5,AMBER,Thin at CR price. £2.99 would give 37%
Pears Conference,,2.99,per kg,PEARS CONFERENCE BELGIUM 12KG,Dole,19.00,12KG,1.58,47.2,GREEN,Good margin
Date box small,Punnets,1.49,per small box,DATE MEDJOOL EGYPT 5KG,Dole,30.00,5KG,6.00 per kg,,,AMBER,Small date box ~150-200G costs £0.90-1.20. Sell £1.49 = 19-39% margin. Should be £1.99
Passion Fruit 3 for £1,,1.00,3 for £1,PASSION FRUIT COLOMBIA 2KG,Dole,14.00,2KG ~40 fruits,0.35,4.8,RED,3 passion fruits cost ~£1.05 vs sell £1 = slight loss. Price to 3 for £1.29 or 2 for £1
Bean Sprouts,,0.89,per pack,BEAN SHOOTS SINGLE,Holland,0.50,single,0.50,43.8,GREEN,Good margin
Chestnut,,0.10,per piece,,,,,,,NO_COST,Price error or very old. Market £1-2 per pack
Chestnuts net,,1.99,per net,,,,,,,NO_COST,Not in delivery notes
Bagged fruit,,1.00,per bag,,,,,,,NO_COST,Unclear what product. Likely a generic mixed bag
Pommy Pack of 3,Exotic,1.20,per 3-pack,POMEGRANATE ZA 8/5KG,Dole,10.00,8 units ~5KG,0.375 for 3 small pommy,68.8,GREEN,If selling 3 small pomegranate seeds packs. Cost estimate only
Pommy pack of 2,Exotic,0.99,per 2-pack,,,,,,,AMBER,Similar to above
Grandilo,,1.39,per piece,GRANADILLA FRANCE 18/2KG,Dole,20.00,18 units ~2KG,1.11,20.1,AMBER,Granadilla (passion fruit type) at £1.11 cost; sell £1.39 = 20% margin. Price to £1.99
Pithaya,,3.00,per piece,,,,,,,NO_COST,Dragon fruit (pitahaya). Not in delivery notes
Dragon fruit,,2.50,per piece,,,,,,,NO_COST,Also dragon fruit - two entries
Kumquat 5 for £1,Exotic,1.00,5 for £1,,,,,,,NO_COST,Not in delivery notes
10 Kamquats for £1,Citrus,1.00,10 for £1,,,,,,,NO_COST,Same product different count. Duplicates each other
Crambola,Exotic,1.50,per piece,STARFRUIT THAILAND 10/2.5KG,Dole,15.00,10 units,1.50,0.0,RED,Carambola = starfruit. Cost = sell price. Loss after wastage. Price to £2.50
Sharon Fruit Box (12) - MP,,7.50,per 12-count box,KAKI FRUIT SPAIN 24/4KG,Dole,10.00,24 units ~4KG,5.00 for 12,33.3,AMBER,Wholesale box of 12 sharon fruit. Cost £5; sell £7.50 = 33% margin
Sharon Fruit (12) - MP,,6.00,per 12-count box,KAKI FRUIT SPAIN 24/4KG,Dole,10.00,24 units ~4KG,5.00 for 12,16.7,RED,DUPLICATE of above but at lower price. £6 vs £5 cost = only 17% margin. Use £7.50 version only and delete this
Donut Peach Box (25) - MP,,6.00,per 25-count box,PEACH DONUT SPAIN 10X500G,Dole,18.00,10×500G = 5KG ~25 peaches,9.00 for 25,,,RED - LOSS,25 peaches cost ~£9 (18/10 × 5); selling at £6 = loss. Should be £12-14
Melon Piel Desapo Box (6) - MP,,10.00,per 6-melon box,MELON PIEL DESAPO CR 9/15KG,Dole,17.00,9 units,11.33 for 6,,,RED - LOSS,6 melons cost £11.33; selling at £10 = loss. Should be £14
Grapefruit Red Box (66),Citrus Wholesale,0.00,per box,GRAPEFRUIT SA/CYPRUS 35/15KG,Dole,20.00,35 units,,,ZERO_PRICE,No price. Cost of 66-count batch = 2 boxes ≈ £40. Set wholesale price
Pomegranate (8) - MP,,8.50,per 8-count,POMEGRANATE ZA 8/5KG,Dole,10.00,8 units,10.00,,RED - LOSS,Selling 8 pomegranates at £8.50 vs cost £10 = loss. Should be £14.99
Tangerine (10 KG) - MP,,13.50,per 10KG,CLEMENTINE NARDOCOTT 10KG,Dole,17.00,10KG,17.00,,RED - LOSS,Selling 10KG at £13.50 vs cost £17 = loss. Should be £22-24
Plums Red Loose Box (4KG) - MP,,14.00,per 4KG,PLUM VARIOUS SA 5KG,Dole,13.00,5KG,10.40 for 4KG,25.7,AMBER,4KG plums cost ~£10.40; sell £14 = 26% margin. OK for wholesale. Could be £16.99
Peaches Loose box (28) - MP,,6.00,per 28-count,PEACH SPAIN 10X500G,Dole,16.00,10×500G ~30 peaches,14.93 for 28,,,RED - LOSS,28 peaches from 500G punnets (52g each × 28 = 1.46KG × £3.20/500G) ≈ £9.34 cost vs £6 sell = loss. Should be £12-14
Orange Small (60) - MP,,14.00,per 60-count,ORANGE NAVEL SPAIN 45/15KG,Dole,20.00,45 units,26.67 for 60,,,RED - LOSS,60 oranges = 1.33 boxes at £20 = £26.67 cost; selling at £14 = loss. Should be £32-35
Orange Large (60) - MP,,22.00,per 60-count,ORANGE NAVEL SPAIN 45/15KG,Dole,20.00,45 units,26.67 for 60,,,RED - LOSS,Same problem. 60 large oranges cost ~£26.67; selling £22 = loss. Should be £35-40
Melon Honey Dew (8) - MP,,12.00,per 8-melon box,MELON HONEYDEW ES 6/5KG,Dole,6.00,6 units,8.00 for 8,33.3,AMBER,8 ES melons (1.33 boxes) cost £8; sell £12 = 33% margin. OK for wholesale
Melon Galia (8) - MP,,12.00,per 8-melon box,MELON GALIA VARIOUS,Dole,9.00,6 units,12.00 for 8,0.0,RED,8 Galia melons cost ~£12; selling at £12 = break-even. Should be £16-18
Melon Cantaloupe (8) - MP,,12.00,per 8-melon box,MELON CANTALOUPE BRAZIL 5/5KG,Dole,6.00,5 units,9.60 for 8,20.0,AMBER,8 cantaloupe cost £9.60; sell £12 = 20% margin. Should be £14.99
Grapefruit Red (66) - MP,,19.00,per 66-count,GRAPEFRUIT SA 35/15KG,Dole,20.00,35 units,38.29 for 66,,,RED - LOSS,66 grapefruit = almost 2 boxes at £20 = £38.29 cost vs £19 sell = massive loss. Should be £50+
Apricot Loose - (2 Kilo) - MP,,8.00,per 2KG,APRICOT SPAIN 10X500G,Dole,14.00,10×500G = 5KG,5.60 for 2KG,30.0,AMBER,2KG apricot costs £5.60; sell £8 = 30% margin. OK wholesale. Could be £9.99
Cabbage White Small Net (10KG),Wholesale,0.00,per 10KG,CABBAGE WHITE 25KG DUTCH,Holland,8.00,25KG,3.20 for 10KG,,ZERO_PRICE,No price. 10KG white cabbage costs ~£3.20. Set to £5.99-6.99
Onions Sack of Prepack,Wholesale,14.50,per sack,ONION DUTCH 24KG,Holland,23.00,24KG,23.00,,RED - LOSS,Selling onion sack at £14.50 vs £23 Dutch 24KG cost = loss. Or using different size. CHECK
Garlic String,Wholesale,5.00,per string,GARLIC STRINGS,Holland,4.00,per 2 strings,2.00,60.0,GREEN,String of garlic costs £2; sell £5 = 60% margin. Good
Garlic Net,Wholesale,2.40,per net,GARLIC NET,Holland,2.40,per net,2.40,0.0,RED,Selling at cost. Should be £3.99-4.99
Garlic String MP,,4.40,per string,GARLIC STRINGS,Holland,4.00,per 2 strings,2.00,54.5,GREEN,Good margin
Garlic Net MP,,11.50,per net,GARLIC NET,Holland,,,,,AMBER,Unknown cost - likely larger net. Review
Garlic Peeled Pack 1KG MP,,3.80,per 1KG,GARLIC PEELED CN,Dole,3.00,single,,,AMBER,If Holland Apollo 1KG at £22 cost, selling at £3.80 = massive loss. If China single garlic peeled at £3 cost: margin 21% AMBER
Broccoli box,Wholesale,7.50,per box,,,,,,,NO_COST,Not in delivery notes. Broccoli occasionally bought from Holland but no data
Tumeric box,Wholesale,16.00,per box,GINGER PP TURMERIC BOX,Holland,16.00,per box,16.00,0.0,RED,Selling turmeric box at cost. Should be £22-25
Litchi box,Wholesale,9.50,per 2KG box,LYCHEE SA 2KG,Dole,15.00,2KG,15.00,,RED - LOSS,9.50 sell vs £15 cost = major loss. Should be £22-25
Tomato Loose/Vine Box (5KG),Wholesale,0.00,per 5KG box,TOMATO VINE SPAIN 5KG,Dole,9.00,5KG,9.00,,ZERO_PRICE,Cost £9; set wholesale price to £12.99-14.99
Potatoes Large (10 KG Bag),Potato Wholesale,0.00,per 10KG,POTATO MIDS UK 10KG,Dole,7.50,10KG,7.50,,ZERO_PRICE,Cost £7.50; set to £9.99-10.99
Pepper Orange Box,Wholesale,0.00,per 5KG box,CAPSICUM ORANGE SPAIN 5KG,Dole,12.00,5KG,12.00,,ZERO_PRICE,Cost £12; set to £16.99
Pepper Red Box,Wholesale,0.00,per 5KG box,CAPSICUM RED NL 5KG,Dole,11.00,5KG,11.00,,ZERO_PRICE,Cost £11; set to £15.99
Aubergine box (5KG),Wholesale,0.00,per 5KG box,AUBERGINE NL 5KG,Dole,8.00,5KG,8.00,,ZERO_PRICE,Cost £8; set to £11.99
Lemon box,Wholesale,0.00,per box,LEMON SPAIN 30/6KG,Dole,8.00,30 units ~6KG,8.00,,ZERO_PRICE,Cost £8; set to £11.99
Lime box,Wholesale,0.00,per box,LIMES BRAZIL 42/4KG,Dole,7.00,42 units ~4KG,7.00,,ZERO_PRICE,Cost £7; set to £10.99
Pepper Box Mixed,Wholesale,0.00,per 5KG box,CAPSICUM MIXED NL 5KG,Dole,13.50,5KG,13.50,,ZERO_PRICE,Cost £13.50; set to £18.99
Nectarine Loose Box (28),Soft Fruit Wholesale,0.00,per 28-count box,NECTARINE SPAIN 10X500G,Dole,15.50,10×500G = 5KG,15.50,,ZERO_PRICE,Cost ~£15.50/5KG; set wholesale price £21-22
Apricot Loose Box (2KG),Soft Fruit Wholesale,0.00,per 2KG,APRICOT SPAIN 10X500G,Dole,14.00,5KG,5.60 for 2KG,,ZERO_PRICE,Set to £8 (matches MP version)
Plum Red Box (4KG),Soft Fruit Wholesale,0.00,per 4KG,PLUM VARIOUS SA 5KG,Dole,13.00,5KG,10.40 for 4KG,,ZERO_PRICE,Set to £14 (matches MP version)
Donut Peach Box (25),Soft Fruit Wholesale,0.00,per 25-count,PEACH DONUT SPAIN 10X500G,Dole,18.00,10×500G,,,ZERO_PRICE,Set to £12+ (MP version at £6 is a loss)
Onion Red Sack (8KG),Wholesale,0.00,per 8KG,RED ONIONS DUTCH,Holland,7.80,per box ~5KG,,,ZERO_PRICE,8KG red onions cost ~£12.50; set to £16.99
Onion Sack Regular (20KG),Wholesale,0.00,per 20KG,ONION SA 20KG,Holland,19.00,20KG,19.00,,ZERO_PRICE,Cost £19; set to £26.99
Onion Spanish Sack,Wholesale,0.00,per sack,ONION SPAIN 20KG,Dole,15.00,20KG,15.00,,ZERO_PRICE,Cost £15; set to £21.99
Carrots Sack,Wholesale,0.00,per sack,CARROT UK 15KG PREPACKED,Dole,11.50,15KG,11.50,,ZERO_PRICE,Cost £11.50; set to £16.99
Potatoes Baby Roast Box (10KG),Potato Wholesale,0.00,per 10KG,,,,,,,ZERO_PRICE,Not in delivery notes. Check supplier
Potatoes PrePack Sack (20KG),Potato Wholesale,0.00,per 20KG,POTATO UK 10X2KG 20KG,Dole,8.20,20KG,8.20,,ZERO_PRICE,Cost £8.20; set to £12.99
Potatoes Washed Box (40 Count),Potato Wholesale,0.00,per 40-count,POTATO WASHED UK 25KG,Dole,7.00,25KG,7.00,,ZERO_PRICE,Set to £11.99
Potatoes Jolly Wash Chip (Sack),Potato Wholesale,0.00,per sack,POTATO WASHED UK 25KG,Dole,7.00,25KG,7.00,,ZERO_PRICE,Set to £11.99
Mushroom Tray (2.27KG),Wholesale,0.00,per 2.27KG tray,MUSHROOM CUP POLAND 2.27KG,Dole,5.20,2.27KG,5.20,,ZERO_PRICE,Cost £5.20; set to £7.99
Celeriac Net,Wholesale,0.00,per net,CELERIAC BOX X6,Holland,6.00,6 pieces,6.00,,ZERO_PRICE,Set to £8.99
Pomegranate Box,Wholesale,0.00,per box,POMEGRANATE ZA 8/5KG,Dole,10.00,8 units,10.00,,ZERO_PRICE,Set to £13.99-14.99
Peaches Loose box (28),Soft Fruit Wholesale,0.00,per 28-count,PEACH SPAIN 10X500G,Dole,16.00,10×500G = 5KG,,,ZERO_PRICE,Set to £12+ (MP at £6 is a loss)
Grapefruit Red Box (66),Citrus Wholesale,0.00,per 66-count,GRAPEFRUIT SA 35/15KG,Dole,20.00,35 units,,,ZERO_PRICE,66-count costs ~£38-40. Set wholesale price accordingly
Orange Large Box (60),Citrus Wholesale,0.00,per 60-count,ORANGE NAVEL SPAIN 45/15KG,Dole,20.00,45 units,,,ZERO_PRICE,Cost ~£26.67; set to £35-38
Orange Small Box (60),Citrus Wholesale,0.00,per 60-count,ORANGE SMALL SPAIN 80/15KG,Dole,8.00,80 units,6.00 for 60,,ZERO_PRICE,60 small oranges cost £6; set to £9.99-11.99
White grape box LARGE BOX,Wholesale,29.00,per large box,GRAPE SWEET GLOBE / CRIMSON,Dole,16.00,10×500G = 5KG,,,AMBER,If selling full 10KG box: cost £32 vs sell £29 = loss. If 5KG: cost £16 sell £29 = 45% margin. CLARIFY size
Grapefruit Red Box,Wholesale,18.00,per box,GRAPEFRUIT CYPRUS 35/15KG,Dole,18.00,35 units,18.00,0.0,RED,Selling at cost. Should be £24.99
Water Bottle 500ml,,0.25,per 500ML bottle,WATER STILL UK 24X500ML,Dole,3.00,24 bottles,0.125,50.0,GREEN,Good margin
Water Bottles - 24,,4.80,per 24-pack,WATER STILL UK 24X500ML,Dole,3.00,24 bottles,3.00,37.5,AMBER,Selling 24-pack at £4.80 vs £3 cost = 37% margin. OK for bulk
Water Bottle Large,Drinks,0.85,per large bottle,WATER STILL UK 24X500ML,Dole,3.00,24 bottles,0.125,85.3,GREEN,85% margin if large = 500ML. Excellent
Fruit Shoot,Drinks,0.50,per bottle,,,,,,,NO_COST,Not in delivery notes. Bought externally
Fruit Shoot 3 for £1,Drinks,1.00,3 for £1,,,,,,,NO_COST,Not in delivery notes
Coca Cola Bottle,Drinks,2.70,per bottle,,,,,,,NO_COST,External purchase
Coca Zero Bottle,Drinks,2.20,per bottle,,,,,,,NO_COST,External purchase
Sprite Bottle,Drinks,2.20,per bottle,,,,,,,NO_COST,External purchase
Fanta Bottle,Drinks,2.20,per bottle,,,,,,,NO_COST,External purchase
Princess orange/apple,Drinks,1.50,per bottle,,,,,,,NO_COST,Princess brand juice
Apple Juice Princess Bottle,Drinks,1.60,per bottle,,,,,,,NO_COST,External purchase
Orange Juice Princess Bottle,Drinks,1.99,per bottle,,,,,,,NO_COST,External purchase
Milk,,1.49,per pint,,,,,,,NO_COST,External purchase. Sold as convenience item
Milk Promotion,,1.35,per pint,,,,,,,NO_COST,Promotional price
Milk Promotion 80p,,0.80,per pint,,,,,,,NO_COST,Heavy discount - check if current
Milk Mp,,1.60,per pint,,,,,,,NO_COST,MP = manual price milk
Eggs Tray LARGE,,7.90,per 30-egg tray,,,,,,,NO_COST,Not in delivery notes. External purchase
Olive oil,,2.50,per bottle,,,,,,,NO_COST,Not in delivery notes
Roasted Pistachios,Punnets,1.50,per punnet,,,,,,,NO_COST,Not in delivery notes
Roasted Almonds,Punnets,1.50,per punnet,,,,,,,NO_COST,Not in delivery notes
Hazelnuts,,8.00,per bag,,,,,,,NO_COST,Not in delivery notes
Walnuts,,8.00,per bag,,,,,,,NO_COST,Not in delivery notes
Walnut pack,,1.80,per pack,,,,,,,NO_COST,Not in delivery notes
Dried fruit packet,,0.39,per packet,,,,,,,NO_COST,Not in delivery notes
Tamarind,Punnets,2.99,per punnet,,,,,,,NO_COST,Not in delivery notes
Red Currants,Exotic,2.00,per punnet,,,,,,,NO_COST,Not in delivery notes
Cranberries,,0.89,per punnet,,,,,,,NO_COST,Not in delivery notes
Little Gem,,1.29,per piece,,,,,,,NO_COST,Not in delivery notes
Sugar Snaps,,1.69,per pack,,,,,,,NO_COST,Not in delivery notes
Pear Conference Punnet,Punnets,2.80,per punnet,PEARS CONFERENCE BELGIUM 12KG,Dole,19.00,12KG,0.79 per 500G,71.8,GREEN,500G conference pear costs 79p; sell £2.80 = 72% margin
Cucumber mini,Punnets,3.49,per pack,CUCUMBER MINI SPAIN 5KG,Dole,11.50,5KG,2.30,34.1,AMBER,Mini cucumber pack at £2.30 cost; sell £3.49 = 34% margin. Ok
Horseradish wrapped,Exotic,3.50,per piece,HORSERADISH STICK,Holland,2.00,per stick,2.00,42.9,GREEN,Cost £2 sell £3.50 = 43% margin
Turnip,Exotic,3.62,per piece,,,,,,,NO_COST,Not in delivery notes. Unusual price (£3.62)
Bean Sprouts,,0.89,per pack,BEAN SHOOTS SINGLE,Holland,0.50,single,0.50,43.8,GREEN,Good
Prune Tub,Soft Fruit,2.99,per tub,,,,,,,NO_COST,Not in delivery notes. External purchase (dried prunes)
bargain box,,0.20,per box,,,,,,,NO_COST,Generic markdown/clearance item. No cost applicable
Bags (Box) - MP,,0.00,n/a,BAGS PLASTIC / PAPER,Dole,varies,varies,,,CONSUMABLE,Bag sales. Not produce
Sheciyonu,Exotic,13.20,per item,,,,,,,UNKNOWN,Unknown product. Likely a mis-entry or non-standard item. Clarify with David
SEHECYIONU,,6.60,per item,,,,,,,UNKNOWN,Likely same as Sheciyonu. Duplicate with different price. Clarify
Green plum,Soft Fruit,0.03,per piece,,,,,,,PRICE_ERROR,3p sell price is certainly wrong. Pricing error
Soft Plum,,0.10,per piece,,,,,,,PRICE_ERROR,10p sell price is certainly a pricing error
Radish Pack,,0.66,per pack,RADISH PRE PACKED X20,Holland,7.50,20 packs,0.375,43.2,GREEN,38p cost per pack; sell 66p = 43% margin
Lychees 5 for £1,Exotic,1.00,5 for £1,LYCHEE SA 2KG,Dole,15.00,2KG ~50 lychees,1.50 for 5,,RED - LOSS,5 lychees cost ~£1.50; selling for £1 = loss. Should be 5 for £1.99 or 3 for £1
Pumpkin small,,2.49,per piece,,,,,,,NO_COST,Not in delivery notes
Marrow,,1.50,per piece,,,,,,,NO_COST,Not in delivery notes
Dragon fruit,,2.50,per piece,,,,,,,DUPLICATE,Duplicate of Dragon Fruit at £2.00. Consolidate
Pithaya,,3.50,per piece,,,,,,,DUPLICATE,Duplicate of Pithaya at £3.00. Consolidate. Price £3.00-3.50
Cabbage White,Cabbage,1.00,per piece,,,,,,,DUPLICATE,Third entry for Cabbage White. Delete duplicates
Tangerine Loose,Citrus,3.30,per kg,,,,,,,DUPLICATE,Second entry. Delete
Strawberry Punnet,Punnets,1.80,per punnet,,,,,,,DUPLICATE,Second entry. Delete
Plums Punnet,Punnets,1.99,per punnet,,,,,,,DUPLICATE,Second entry. Delete
Nectarine Punnet,Punnets,2.50,per punnet,,,,,,,DUPLICATE,Second entry. Delete
Open punnet Grapes,Grapes,1.40,per punnet,,,,,,,DUPLICATE,Duplicate of Grape open punnet. Delete
